,product_id,name,description,category,unit_price,reorder_level,status,supplier_id,created_at,last_updated,current_stock
7,8,Organic Almonds,Raw shelled almonds,Grocery,1200,12,active,1002.0,2024-03-08 13:20:00,2024-05-08 15:22:00,0
8,9,Wireless Earphones,Noise-cancelling earbuds,Electronics,5500,18,active,1004.0,2024-03-08 14:00:00,2024-05-08 10:05:00,16
9,10,Children’s Story Book,Illustrated fairy tales,Books,800,7,active,1002.0,2024-03-08 15:45:00,2024-05-08 16:00:00,6
12,13,Wooden Dining Table,6-seater solid wood,Furniture,25000,4,active,1002.0,2024-04-08 11:00:00,2024-05-08 18:00:00,3
15,16,Organic Honey,Pure wild honey,Grocery,1900,25,active,1003.0,2024-04-08 13:30:00,2024-06-08 10:00:00,24
16,17,Fiction Novel,Best-selling thriller,Books,450,8,active,1002.0,2024-04-08 14:00:00,2024-06-08 10:30:00,5
18,19,Desk Lamp,LED adjustable lamp,Electronics,1350,30,active,1002.0,2024-04-08 15:00:00,2024-06-08 11:30:00,24
20,21,Organic Coffee Beans,Dark roast premium,Grocery,1500,3,active,1002.0,2024-04-08 16:00:00,2024-06-08 12:30:00,2
21,22,Children’s Puzzle Book,Brain teaser games,Books,650,30,active,1004.0,2024-04-08 16:30:00,2024-06-08 13:00:00,20
23,24,Office Desk,Wooden top with drawers,Furniture,9500,20,active,1004.0,2024-04-08 17:30:00,2024-06-08 14:00:00,12
24,25,Fruit Basket,Unknown,Grocery,1100,10,active,1000.0,2024-05-08 09:00:00,2024-06-08 14:30:00,-10
25,26,Unknown,World history compendium,Books,1950,8,active,,2024-05-08 09:30:00,2024-06-08 15:00:00,-6
26,27,Smart Watch,Health tracking device,Electronics,9200,7,active,1002.0,2024-05-08 10:00:00,2024-06-08 15:30:00,-5
27,28,Formal Shirt,White cotton shirt,Clothing,1400,10,active,1001.0,2024-05-08 10:30:00,2024-06-08 16:00:00,7
28,29,Wall Painting,Abstract art piece,Furniture,4300,10,active,1002.0,2024-05-08 11:00:00,2024-06-08 16:30:00,8
29,30,Organic Olive Oil,Extra virgin quality,Grocery,1800,15,active,1004.0,2024-05-08 11:30:00,2024-06-08 17:00:00,8
30,31,Travel Guide Book,Europe edition,Books,750,9,active,1001.0,2024-05-08 12:00:00,2024-06-08 17:30:00,-8
31,32,Leather Wallet,Men's genuine leather,Clothing,2200,3,inactive,1003.0,2024-05-08 12:30:00,2024-06-08 18:00:00,-2
34,35,Organic Oats,Pure rolled oats,Grocery,1400,9,active,1002.0,2024-05-08 14:00:00,2024-06-08 19:30:00,-5
35,36,Children’s Toy Set,Educational blocks,Electronics,9000,7,active,1004.0,2024-05-08 14:30:00,2024-06-08 20:00:00,-4
36,37,Wool Sweater,Men's winter wear,Clothing,8300,5,active,1003.0,2024-05-08 15:00:00,2024-06-08 20:30:00,-3
37,38,Cookware Set,10-piece non-stick,Furniture,3400,11,active,1004.0,2024-05-08 15:30:00,2024-06-08 21:00:00,10
38,39,Aroma Diffuser,Ultrasonic essential oil,Electronics,9500,4,active,1001.0,2024-05-08 16:00:00,2024-06-08 21:30:00,0
39,40,Running Socks,Cushioned sport socks,Clothing,1500,12,active,1004.0,2024-05-08 16:30:00,2024-06-08 22:00:00,8
