warehouse_id,product_id,current_stock,_c0,name,description,category,unit_price,reorder_level,status,supplier_id,created_at,last_updated,location,understocked,overstocked
2002.0,1.0,-5,0,LED TV,42 inch Smart TV,Electronics,35000,10,active,1000.0,2024-01-08 10:00:00,2024-05-08 09:30:00,Delhi,True,False
2005.0,40.0,8,39,Running Socks,Cushioned sport socks,Clothing,1500,12,active,1004.0,2024-05-08 16:30:00,2024-06-08 22:00:00,Kolkata,True,False
2002.0,37.0,-3,36,Wool Sweater,Men's winter wear,Clothing,8300,5,active,1003.0,2024-05-08 15:00:00,2024-06-08 20:30:00,Delhi,True,False
2008.0,18.0,20,17,Men's Running Shoes,Lightweight sneakers,Clothing,3200,20,active,1001.0,2024-04-08 14:30:00,2024-06-08 11:00:00,Noida,False,False
2006.0,16.0,24,15,Organic Honey,Pure wild honey,Grocery,1900,25,active,1003.0,2024-04-08 13:30:00,2024-06-08 10:00:00,Ahmedabad,True,False
2003.0,29.0,8,28,Wall Painting,Abstract art piece,Furniture,4300,10,active,1002.0,2024-05-08 11:00:00,2024-06-08 16:30:00,Hyderabad,True,False
2005.0,15.0,7,14,Coffee Maker,Automatic drip coffee maker,Electronics,3300,6,active,1001.0,2024-04-08 13:00:00,2024-06-08 09:30:00,Kolkata,False,False
2001.0,9.0,16,8,Wireless Earphones,Noise-cancelling earbuds,Electronics,5500,18,active,1004.0,2024-03-08 14:00:00,2024-05-08 10:05:00,Bangalore,True,False
2005.0,30.0,8,29,Organic Olive Oil,Extra virgin quality,Grocery,1800,15,active,1004.0,2024-05-08 11:30:00,2024-06-08 17:00:00,Kolkata,True,False
2000.0,2.0,50,1,Organic Green Tea,Imported organic green tea,Grocery,1200,25,active,1001.0,2024-01-08 11:15:00,2024-05-08 11:15:00,Chennai,False,False
2002.0,6.0,9,5,Cooking Essentials Book,Recipe and kitchen guide,Books,600,8,active,1004.0,2024-02-08 12:00:00,2024-04-08 09:00:00,Delhi,False,False
2004.0,38.0,10,37,Cookware Set,10-piece non-stick,Furniture,3400,11,active,1004.0,2024-05-08 15:30:00,2024-06-08 21:00:00,Mumbai,True,False
2002.0,13.0,3,12,Wooden Dining Table,6-seater solid wood,Furniture,25000,4,active,1002.0,2024-04-08 11:00:00,2024-05-08 18:00:00,Delhi,True,False
2001.0,4.0,6,3,Men's Denim Jacket,Blue denim jacket,Clothing,2500,6,active,1000.0,2024-02-08 10:15:00,2024-05-08 13:19:00,Bangalore,False,False
